,0
0,09:00:00
1,01:55:00
2,02:00:00
3,02:30:00
4,04:30:00
5,08:05:00
6,07:30:00
7,07:15:00
8,09:36:00
9,12:24:00
10,12:02:00
11,13:40:00
12,13:00:00
13,19:46:00
14,18:30:00
15,18:50:00
16,21:46:00
17,03:00:00
18,15:27:00
19,07:01:00
20,08:30:00
21,12:00:00
22,13:22:00
23,12:32:00
24,13:57:00
25,14:09:00
26,05:15:00
27,15:18:00
28,17:14:00
29,19:50:00
30,23:29:00
31,15:30:00
32,10:00:00
33,02:05:00
34,02:08:00
35,08:47:00
36,16:00:00
37,09:10:00
38,09:50:00
39,11:51:00
40,12:14:00
41,11:00:00
42,13:44:00
43,13:20:00
44,14:02:00
45,14:18:00
46,12:38:00
47,12:40:00
48,16:30:00
49,18:00:00
50,19:00:00
51,19:34:00
52,18:20:00
53,20:28:00
54,20:00:00
55,21:50:00
56,10:20:00
57,02:49:00
58,08:00:00
59,09:45:00
60,09:20:00
61,11:31:00
62,10:15:00
63,09:30:00
64,11:45:00
65,12:19:00
66,12:30:00
67,14:34:00
68,14:50:00
69,15:20:00
70,16:44:00
71,17:11:00
72,19:21:00
73,19:33:00
74,17:53:00
75,05:35:00
76,20:47:00
77,22:01:00
78,18:15:00
79,22:27:00
80,23:47:00
81,21:00:00
82,15:00:00
83,22:10:00
84,21:30:00
85,14:28:00
86,23:30:00
87,00:22:00
88,06:28:00
89,09:34:00
90,08:20:00
91,11:53:00
92,11:55:00
93,10:30:00
94,06:00:00
95,20:57:00
96,23:40:00
97,22:00:00
98,02:06:00
99,03:01:00
100,03:20:00
101,07:00:00
102,08:40:00
103,18:08:00
104,18:11:00
105,19:25:00
106,20:53:00
107,22:20:00
108,20:56:00
109,01:06:00
110,01:00:00
111,03:50:00
112,09:02:00
113,07:20:00
114,10:17:00
115,08:55:00
116,12:53:00
117,13:24:00
118,14:57:00
119,15:12:00
120,16:13:00
121,16:11:00
122,18:05:00
123,17:01:00
124,18:35:00
125,19:42:00
126,19:52:00
127,19:35:00
128,21:55:00
129,23:00:00
130,09:15:00
131,01:15:00
132,02:33:00
133,09:16:00
134,11:03:00
135,09:28:00
136,11:37:00
137,10:52:00
138,17:30:00
139,13:53:00
140,13:45:00
141,17:10:00
142,15:05:00
143,14:00:00
144,17:17:00
145,18:54:00
146,21:58:00
147,21:15:00
148,04:15:00
149,08:43:00
150,11:25:00
151,13:18:00
152,10:49:00
153,13:59:00
154,14:30:00
155,17:51:00
156,17:45:00
157,18:40:00
158,16:50:00
159,20:01:00
160,19:15:00
161,23:05:00
162,19:10:00
163,06:30:00
164,15:15:00
165,00:45:00
166,08:10:00
167,14:48:00
168,14:47:00
169,15:51:00
170,13:15:00
171,16:43:00
172,19:02:00
173,22:05:00
174,11:20:00
175,14:27:00
176,20:18:00
177,00:35:00
178,01:07:00
179,09:05:00
180,08:50:00
181,11:46:00
182,12:10:00
183,12:12:00
184,12:21:00
185,12:27:00
186,15:11:00
187,13:50:00
188,17:41:00
189,17:15:00
190,19:11:00
191,20:30:00
